bin_start,bin_end,count
4000000.0,48600000.0,20
48600000.0,93200000.0,6
93200000.0,137800000.0,4
137800000.0,182400000.0,1
182400000.0,227000000.0,1
227000000.0,271600000.0,1
271600000.0,316200000.0,0
316200000.0,360800000.0,0
360800000.0,405400000.0,0
405400000.0,450000000.0,1
