listing_id,listing_id_citation,address,address_citation,city,city_citation,state,state_citation,zip_code,zip_code_citation,price,price_citation,bedrooms,bedrooms_citation,bathrooms_citation,square_footage,square_footage_citation,listing_url,listing_url_citation
5459,https://devapi.omnisoft.africa/public/api/v2,"bureau,louer,lome,bernard cope, Agoe, Lome",https://devapi.omnisoft.africa/public/api/v2,Lome,https://devapi.omnisoft.africa/public/api/v2,Agoe,https://devapi.omnisoft.africa/public/api/v2,0000,https://devapi.omnisoft.africa/public/api/v2,150000,https://devapi.omnisoft.africa/public/api/v2,0,https://devapi.omnisoft.africa/public/api/v2,https://devapi.omnisoft.africa/public/api/v2,60,https://devapi.omnisoft.africa/public/api/v2,https://www.immoask.com/tg/annonce/5459,https://devapi.omnisoft.africa/public/api/v2
5458,https://devapi.omnisoft.africa/public/api/v2,"boutique,louer,lome,agbalepedo, Agbalépédo, Lome",https://devapi.omnisoft.africa/public/api/v2,Lome,https://devapi.omnisoft.africa/public/api/v2,Agbalépédo,https://devapi.omnisoft.africa/public/api/v2,0000,https://devapi.omnisoft.africa/public/api/v2,60000,https://devapi.omnisoft.africa/public/api/v2,1,https://devapi.omnisoft.africa/public/api/v2,https://devapi.omnisoft.africa/public/api/v2,20,https://devapi.omnisoft.africa/public/api/v2,https://www.immoask.com/tg/annonce/5458,https://devapi.omnisoft.africa/public/api/v2
5457,https://devapi.omnisoft.africa/public/api/v2,"villa,louer,lome,zossime, Agoe, Lome",https://devapi.omnisoft.africa/public/api/v2,Lome,https://devapi.omnisoft.africa/public/api/v2,Agoe,https://devapi.omnisoft.africa/public/api/v2,0000,https://devapi.omnisoft.africa/public/api/v2,150000,https://devapi.omnisoft.africa/public/api/v2,4,https://devapi.omnisoft.africa/public/api/v2,https://devapi.omnisoft.africa/public/api/v2,100,https://devapi.omnisoft.africa/public/api/v2,https://www.immoask.com/tg/annonce/5457,https://devapi.omnisoft.africa/public/api/v2
5456,https://devapi.omnisoft.africa/public/api/v2,"terrain,vendre,lome,akepedo, Akepedo, Lome",https://devapi.omnisoft.africa/public/api/v2,Lome,https://devapi.omnisoft.africa/public/api/v2,Akepedo,https://devapi.omnisoft.africa/public/api/v2,0000,https://devapi.omnisoft.africa/public/api/v2,320000000,https://devapi.omnisoft.africa/public/api/v2,0,https://devapi.omnisoft.africa/public/api/v2,https://devapi.omnisoft.africa/public/api/v2,15000,https://devapi.omnisoft.africa/public/api/v2,https://www.immoask.com/tg/annonce/5456,https://devapi.omnisoft.africa/public/api/v2
5455,https://devapi.omnisoft.africa/public/api/v2,"appartement meublé,louer,lome,kegue , Kegue, Lome",https://devapi.omnisoft.africa/public/api/v2,Lome,https://devapi.omnisoft.africa/public/api/v2,Kegue,https://devapi.omnisoft.africa/public/api/v2,0000,https://devapi.omnisoft.africa/public/api/v2,500000,https://devapi.omnisoft.africa/public/api/v2,2,https://devapi.omnisoft.africa/public/api/v2,https://devapi.omnisoft.africa/public/api/v2,90,https://devapi.omnisoft.africa/public/api/v2,https://www.immoask.com/tg/annonce/5455,https://devapi.omnisoft.africa/public/api/v2
5454,https://devapi.omnisoft.africa/public/api/v2,"appartement meublé,louer,lome,agoe , Agoe, Lome",https://devapi.omnisoft.africa/public/api/v2,Lome,https://devapi.omnisoft.africa/public/api/v2,Agoe,https://devapi.omnisoft.africa/public/api/v2,0000,https://devapi.omnisoft.africa/public/api/v2,400000,https://devapi.omnisoft.africa/public/api/v2,2,https://devapi.omnisoft.africa/public/api/v2,https://devapi.omnisoft.africa/public/api/v2,300,https://devapi.omnisoft.africa/public/api/v2,https://www.immoask.com/tg/annonce/5454,https://devapi.omnisoft.africa/public/api/v2
5453,https://devapi.omnisoft.africa/public/api/v2,"appartement meublé,louer,lome,kegue , Kegue, Lome",https://devapi.omnisoft.africa/public/api/v2,Lome,https://devapi.omnisoft.africa/public/api/v2,Kegue,https://devapi.omnisoft.africa/public/api/v2,0000,https://devapi.omnisoft.africa/public/api/v2,400000,https://devapi.omnisoft.africa/public/api/v2,2,https://devapi.omnisoft.africa/public/api/v2,https://devapi.omnisoft.africa/public/api/v2,90,https://devapi.omnisoft.africa/public/api/v2,https://www.immoask.com/tg/annonce/5453,https://devapi.omnisoft.africa/public/api/v2
5452,https://devapi.omnisoft.africa/public/api/v2,"terrain,vendre,lome,legbassito, Agoe, Lome",https://devapi.omnisoft.africa/public/api/v2,Lome,https://devapi.omnisoft.africa/public/api/v2,Agoe,https://devapi.omnisoft.africa/public/api/v2,0000,https://devapi.omnisoft.africa/public/api/v2,30000000,https://devapi.omnisoft.africa/public/api/v2,0,https://devapi.omnisoft.africa/public/api/v2,https://devapi.omnisoft.africa/public/api/v2,600,https://devapi.omnisoft.africa/public/api/v2,https://www.immoask.com/tg/annonce/5452,https://devapi.omnisoft.africa/public/api/v2
5451,https://devapi.omnisoft.africa/public/api/v2,"terrain,vendre,lome,segbe , Segbe, Lome",https://devapi.omnisoft.africa/public/api/v2,Lome,https://devapi.omnisoft.africa/public/api/v2,Segbe,https://devapi.omnisoft.africa/public/api/v2,0000,https://devapi.omnisoft.africa/public/api/v2,17000000,https://devapi.omnisoft.africa/public/api/v2,0,https://devapi.omnisoft.africa/public/api/v2,https://devapi.omnisoft.africa/public/api/v2,900,https://devapi.omnisoft.africa/public/api/v2,https://www.immoask.com/tg/annonce/5451,https://devapi.omnisoft.africa/public/api/v2
5450,https://devapi.omnisoft.africa/public/api/v2,"terrain,vendre,lome,segbe , Segbe, Lome",https://devapi.omnisoft.africa/public/api/v2,Lome,https://devapi.omnisoft.africa/public/api/v2,Segbe,https://devapi.omnisoft.africa/public/api/v2,0000,https://devapi.omnisoft.africa/public/api/v2,20000000,https://devapi.omnisoft.africa/public/api/v2,0,https://devapi.omnisoft.africa/public/api/v2,https://devapi.omnisoft.africa/public/api/v2,600,https://devapi.omnisoft.africa/public/api/v2,https://www.immoask.com/tg/annonce/5450,https://devapi.omnisoft.africa/public/api/v2
